"activity" "subject" "featureAcceleration" "featureInstrument" "featureJerk" "featureMagnitude" "featureAxis" "featureVariable" "average"
"LAYING" 1 "Body" "Accelerometer" "Jerk" "Magnitude" ")" "Mean" -0.9438483127
"LAYING" 1 "Body" "Accelerometer" "Jerk" "Magnitude" ")" "Standard Deviation" -0.925024802
"LAYING" 1 "Body" "Accelerometer" "Jerk" NA "X" "Mean" -0.4379936748
"LAYING" 1 "Body" "Accelerometer" "Jerk" NA "X" "Standard Deviation" -0.9613214103
"LAYING" 1 "Body" "Accelerometer" "Jerk" NA "Y" "Mean" -0.4593122028956
"LAYING" 1 "Body" "Accelerometer" "Jerk" NA "Y" "Standard Deviation" -0.928183572
"LAYING" 1 "Body" "Accelerometer" "Jerk" NA "Z" "Mean" -0.4686133339195
"LAYING" 1 "Body" "Accelerometer" "Jerk" NA "Z" "Standard Deviation" -0.957721049
"LAYING" 1 "Body" "Accelerometer" NA "Magnitude" ")" "Mean" -0.8518484003
"LAYING" 1 "Body" "Accelerometer" NA "Magnitude" ")" "Standard Deviation" -0.79672290213
"LAYING" 1 "Body" "Accelerometer" NA NA "X" "Mean" -0.35875040423
"LAYING" 1 "Body" "Accelerometer" NA NA "X" "Standard Deviation" -0.9262469519
"LAYING" 1 "Body" "Accelerometer" NA NA "Y" "Mean" -0.4537895793047
"LAYING" 1 "Body" "Accelerometer" NA NA "Y" "Standard Deviation" -0.83522648086
"LAYING" 1 "Body" "Accelerometer" NA NA "Z" "Mean" -0.49793521489
"LAYING" 1 "Body" "Accelerometer" NA NA "Z" "Standard Deviation" -0.819476480534
"LAYING" 1 "Body" "Gyroscope" "Jerk" "Magnitude" ")" "Mean" -0.9529139883
"LAYING" 1 "Body" "Gyroscope" "Jerk" "Magnitude" ")" "Standard Deviation" -0.9342508252
"LAYING" 1 "Body" "Gyroscope" "Jerk" NA "X" "Mean" -0.107270949192
"LAYING" 1 "Body" "Gyroscope" "Jerk" NA "X" "Standard Deviation" -0.9186085208
"LAYING" 1 "Body" "Gyroscope" "Jerk" NA "Y" "Mean" -0.04151728689
"LAYING" 1 "Body" "Gyroscope" "Jerk" NA "Y" "Standard Deviation" -0.9679072436
"LAYING" 1 "Body" "Gyroscope" "Jerk" NA "Z" "Mean" -0.0740501211
"LAYING" 1 "Body" "Gyroscope" "Jerk" NA "Z" "Standard Deviation" -0.9577901596
"LAYING" 1 "Body" "Gyroscope" NA "Magnitude" ")" "Mean" -0.8684748667
